회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
풍산,103140,5.3,84.3,3435800000000
한전KPS,051600,9.14,28.48,2398500000000
현대백화점,069960,6.4,89.55,1645100000000
환인제약,016580,14.99,10.62,214500000000
DMS,068790,16.89,29.1,149900000000
MDS테크,086960,5.31,48.28,120900000000
가비아,079940,17.23,51.73,307900000000
기가비스,420770,33.92,40.94,320700000000
나우IB,293580,49.73,52.57,127700000000
대한뉴팜,054670,13.93,64.49,104200000000
대한약품,023910,17.89,22.88,181800000000
덕산네오룩스,213420,25.39,12.86,1062800000000
동진쎄미켐,005290,14.84,96.11,1668400000000
레인보우로보틱스,277810,9.55,23.82,5286500000000
메디아나,041920,15.52,14.86,104300000000
메디톡스,086900,23.92,37.52,885300000000
비아트론,141000,19.68,15.37,100200000000
삼천당제약,000250,6.89,51.76,4344300000000
석경에이티,357550,38.14,12.03,300600000000
성광벤드,014620,10.97,11.74,860500000000
스톰테크,352090,23.13,44.97,100500000000
아이디스,143160,10.32,28.85,184800000000
아이쓰리시스템,214430,6.78,44.07,663800000000
아이패밀리에스씨,114840,11.14,44.08,299100000000
어보브반도체,102120,10.65,91.56,200400000000
에스피지,058610,5.78,65.97,546700000000
에이스침대,003800,18.87,11.52,319400000000
에이치엔에스하이텍,044990,22.22,49.84,116400000000
엠아이텍,179290,39.64,12.57,242700000000
우리손에프앤지,073560,9.93,82.2,106900000000
월덱스,101160,19.81,40.83,347600000000
이닉스,452400,8.2,17.0,111800000000
이엠텍,091120,8.16,57.49,175600000000
제노코,361390,6.21,87.34,147400000000
지씨셀,144510,18.75,23.96,319200000000
진성티이씨,036890,12.26,92.22,283300000000
케이옥션,102370,21.0,72.42,131000000000
코윈테크,282880,7.35,79.81,148400000000
톱텍,108230,6.04,45.06,182500000000
티에스이,131290,16.69,31.76,453500000000
파마리서치,214450,33.84,28.63,7106500000000
파세코,037070,7.88,40.33,120800000000
피에스케이,319660,19.93,33.78,618400000000
한국경제TV,039340,9.52,15.96,130500000000
한빛레이저,452190,11.58,73.18,109600000000
한양이엔지,045100,6.47,54.87,337000000000
휴온스글로벌,084110,13.02,58.18,626200000000
휴젤,145020,35.99,23.58,3900400000000
DB,012030,5.88,45.38,269000000000
HMM,011200,53.54,25.43,22653400000000
KISCO홀딩스,001940,10.93,16.09,331000000000
LG화학,051910,5.84,81.36,19942300000000
OCI홀딩스,010060,27.17,68.16,1851400000000
기아,000270,8.36,87.35,41238700000000
달바글로벌,483650,10.59,56.43,2093600000000
드림텍,192650,7.06,64.53,430600000000
사조씨푸드,014710,6.75,46.64,145300000000
